Transaction_ID,Customer_ID,Transaction_Date,Transaction_Time,Transaction_Type,Amount_NGN,Channel,Device_Type,Location,International_Transaction,Transaction_Status,Risk_Review_Flag
FT-T000038,FT-C00314,1/1/2026,6:39:00 AM,Bill Payment,933,Mobile App,Android,Abuja,No,Successful,No
FT-T000039,FT-C00816,1/1/2026,6:50:00 AM,Deposit,286497,Web,Android,Ibadan,No,Successful,No
FT-T000040,FT-C00743,1/1/2026,7:01:00 AM,Card Purchase,31006,Mobile App,Android,Abuja,No,Reversed,No
FT-T000041,FT-C00727,1/1/2026,7:12:00 AM,Card Purchase,2669,Web,Android,Port Harcourt,No,Successful,No
FT-T000042,FT-C00826,1/1/2026,7:22:00 AM,Airtime/Data,877,POS,iOS,Ibadan,No,Successful,No
FT-T000043,FT-C01125,1/1/2026,7:33:00 AM,Airtime/Data,19058,Web,Android,Enugu,No,Successful,No
FT-T000044,FT-C00569,1/1/2026,7:44:00 AM,Card Purchase,113262,Mobile App,Android,Kano,No,Successful,No
FT-T000045,FT-C01239,1/1/2026,7:55:00 AM,Bill Payment,12167,POS,iOS,Enugu,No,Successful,No
FT-T000046,FT-C00576,1/1/2026,8:06:00 AM,Transfer,7959,Mobile App,iOS,Lagos,No,Successful,No
FT-T000047,FT-C00062,1/1/2026,8:16:00 AM,Transfer,718,Web,Android,Ibadan,No,Successful,No
FT-T000048,FT-C00369,1/1/2026,8:27:00 AM,Bill Payment,978,USSD,Android,Kaduna,No,Successful,No
FT-T000049,FT-C01392,1/1/2026,8:38:00 AM,Card Purchase,743,USSD,Android,Abuja,No,Successful,No
FT-T000050,FT-C00094,1/1/2026,8:49:00 AM,Transfer,3286,Mobile App,POS Terminal,Benin City,No,Successful,Yes
FT-T000051,FT-C01493,1/1/2026,9:00:00 AM,Bill Payment,1952,Web,iOS,Abuja,No,Successful,No
FT-T000052,FT-C00984,1/1/2026,9:10:00 AM,Airtime/Data,2919,Mobile App,POS Terminal,Ibadan,No,Successful,No
FT-T000053,FT-C01050,1/1/2026,9:21:00 AM,Airtime/Data,35326,Mobile App,Android,Benin City,No,Successful,No
FT-T000054,FT-C01459,1/1/2026,9:32:00 AM,Cash Withdrawal,116469,ATM,iOS,Kano,No,Successful,No
FT-T000055,FT-C01145,1/1/2026,9:43:00 AM,Card Purchase,7792,Web,iOS,Kaduna,No,Successful,No
FT-T000056,FT-C00050,1/1/2026,9:54:00 AM,Transfer,562,POS,Android,Kano,Yes,Successful,No
FT-T000057,FT-C00883,1/1/2026,10:04:00 AM,Deposit,1565,Mobile App,Unspecified,Ibadan,No,Successful,No
FT-T000058,FT-C00764,1/1/2026,10:15:00 AM,Airtime/Data,20992,POS,iOS,Abuja,No,Successful,No
FT-T000059,FT-C00036,1/1/2026,10:26:00 AM,Deposit,6411,Web,iOS,Enugu,No,Failed,No
FT-T000060,FT-C01434,1/1/2026,10:37:00 AM,Bill Payment,2697,ATM,Android,Abuja,No,Successful,No
FT-T000061,FT-C01313,1/1/2026,10:48:00 AM,Transfer,1294,ATM,Android,Kano,Yes,Successful,No
FT-T000062,FT-C01403,1/1/2026,10:58:00 AM,Card Purchase,1250,USSD,iOS,Enugu,No,Successful,No
FT-T000063,FT-C00100,1/1/2026,11:09:00 AM,Card Purchase,1458,USSD,POS Terminal,Benin City,No,Successful,No
FT-T000064,FT-C01348,1/1/2026,11:20:00 AM,Deposit,14875,ATM,iOS,Kaduna,No,Successful,No
FT-T000065,FT-C00329,1/1/2026,11:31:00 AM,Transfer,34665,ATM,iOS,Kaduna,No,Successful,No
FT-T000066,FT-C00706,1/1/2026,11:42:00 AM,Card Purchase,2872,ATM,Android,Abuja,No,Successful,No
FT-T000067,FT-C00221,1/1/2026,11:52:00 AM,Transfer,10665,Mobile App,POS Terminal,Lagos,No,Successful,No
FT-T000068,FT-C00567,1/1/2026,12:03:00 PM,Cash Withdrawal,2730,Mobile App,Web Browser,Lagos,No,Successful,No
FT-T000069,FT-C00996,1/1/2026,12:14:00 PM,Deposit,1447,Mobile App,POS Terminal,Kaduna,No,Successful,No
FT-T000070,FT-C01022,1/1/2026,12:25:00 PM,Cash Withdrawal,6840,ATM,Android,Lagos,No,Successful,No
FT-T000071,FT-C00110,1/1/2026,12:36:00 PM,Deposit,1506,Mobile App,Android,Lagos,No,Successful,No
FT-T000072,FT-C00149,1/1/2026,12:46:00 PM,Cash Withdrawal,5233,Web,Android,Enugu,No,Successful,No
FT-T000073,FT-C00406,1/1/2026,12:57:00 PM,Transfer,149087,Mobile App,Android,Port Harcourt,No,Successful,No
FT-T000074,FT-C00699,1/1/2026,1:08:00 PM,Card Purchase,3137,Web,Android,Lagos,No,Successful,No
FT-T000075,FT-C01017,1/1/2026,1:19:00 PM,Airtime/Data,332,POS,iOS,Kaduna,No,Successful,No
FT-T000076,FT-C01434,1/1/2026,1:30:00 PM,Transfer,231151,Mobile App,iOS,Port Harcourt,No,Successful,Yes
FT-T000077,FT-C01153,1/1/2026,1:40:00 PM,Transfer,38705,POS,Android,Abuja,No,Successful,Yes
FT-T000078,FT-C00108,1/1/2026,1:51:00 PM,Card Purchase,166968,ATM,POS Terminal,Enugu,No,Successful,No
FT-T000079,FT-C00389,1/1/2026,2:02:00 PM,Card Purchase,2048,Mobile App,Android,Benin City,No,Successful,No
FT-T000080,FT-C00425,1/1/2026,2:13:00 PM,Card Purchase,1081,POS,Android,Kano,No,Successful,No
FT-T000081,FT-C00447,1/1/2026,2:24:00 PM,Cash Withdrawal,5181,Web,Android,Benin City,No,Successful,No
FT-T000082,FT-C00918,1/1/2026,2:34:00 PM,Airtime/Data,15592,Web,iOS,Lagos,No,Successful,No
FT-T000083,FT-C01092,1/1/2026,2:45:00 PM,Bill Payment,1116,Web,Android,Kaduna,No,Successful,No
FT-T000084,FT-C01090,1/1/2026,2:56:00 PM,Transfer,2577,USSD,ATM Terminal,Lagos,No,Failed,No
FT-T000085,FT-C00656,1/1/2026,3:07:00 PM,Bill Payment,20580,USSD,Web Browser,Lagos,No,Successful,No
FT-T000086,FT-C00321,1/1/2026,3:18:00 PM,Deposit,125801,POS,iOS,Enugu,No,Successful,Yes
FT-T000087,FT-C00719,1/1/2026,3:28:00 PM,Deposit,534561,POS,iOS,Benin City,No,Successful,No
FT-T000088,FT-C00728,1/1/2026,3:39:00 PM,Card Purchase,158537,Mobile App,iOS,Kaduna,No,Successful,No
FT-T000089,FT-C00580,1/1/2026,3:50:00 PM,Card Purchase,20918,Mobile App,Web Browser,Unspecified,No,Successful,No
FT-T000090,FT-C00447,1/1/2026,4:01:00 PM,Deposit,10769,POS,POS Terminal,Lagos,No,Successful,No
FT-T000091,FT-C00210,1/1/2026,4:12:00 PM,Bill Payment,5513,POS,iOS,Port Harcourt,No,Successful,No
FT-T000092,FT-C00849,1/1/2026,4:22:00 PM,Card Purchase,4983,Web,iOS,Lagos,No,Reversed,No
FT-T000093,FT-C00370,1/1/2026,4:33:00 PM,Transfer,6972,POS,iOS,Benin City,No,Successful,No
FT-T000094,FT-C01482,1/1/2026,4:44:00 PM,Cash Withdrawal,6473,Mobile App,POS Terminal,Kano,No,Successful,No
FT-T000095,FT-C00577,1/1/2026,4:55:00 PM,Transfer,1567,ATM,iOS,Lagos,No,Successful,Yes
FT-T000096,FT-C00689,1/1/2026,5:06:00 PM,Transfer,6035,Web,POS Terminal,Port Harcourt,No,Successful,Yes
FT-T000097,FT-C00790,1/1/2026,5:16:00 PM,Card Purchase,147839,Web,iOS,Kano,No,Successful,No
FT-T000098,FT-C00992,1/1/2026,5:27:00 PM,Card Purchase,84700,ATM,Web Browser,Abuja,No,Successful,Yes
FT-T000099,FT-C00163,1/1/2026,5:38:00 PM,Card Purchase,15565,USSD,Web Browser,Kaduna,No,Successful,No
FT-T000100,FT-C00977,1/1/2026,5:49:00 PM,Card Purchase,1030,Mobile App,iOS,Abuja,No,Successful,No
FT-T000101,FT-C01356,1/1/2026,6:00:00 PM,Transfer,197133,POS,Android,Kano,No,Successful,Yes
FT-T000102,FT-C00350,1/1/2026,6:10:00 PM,Transfer,4172,ATM,iOS,Abuja,No,Successful,No
FT-T000103,FT-C00670,1/1/2026,6:21:00 PM,Transfer,20471,ATM,POS Terminal,Kano,No,Successful,No
FT-T000104,FT-C01492,1/1/2026,6:32:00 PM,Card Purchase,102382,Mobile App,Web Browser,Lagos,No,Successful,Yes
FT-T000105,FT-C00426,1/1/2026,6:43:00 PM,Transfer,4872,USSD,POS Terminal,Abuja,No,Successful,No
FT-T000106,FT-C00327,1/1/2026,6:54:00 PM,Transfer,249578,Web,Android,Enugu,No,Successful,No
FT-T000107,FT-C01130,1/1/2026,7:04:00 PM,Card Purchase,1350,Mobile App,iOS,Ibadan,No,Successful,No
FT-T000108,FT-C00255,1/1/2026,7:15:00 PM,Transfer,277067,ATM,Web Browser,Ibadan,No,Successful,Yes
FT-T000109,FT-C00358,1/1/2026,7:26:00 PM,Transfer,5735,Mobile App,Android,Kano,No,Pending,No
FT-T000110,FT-C00444,1/1/2026,7:37:00 PM,Deposit,11635,Mobile App,Android,Enugu,No,Failed,No
FT-T000111,FT-C00113,1/1/2026,7:48:00 PM,Card Purchase,10315,Mobile App,Web Browser,Enugu,No,Reversed,No
FT-T000112,FT-C01054,1/1/2026,7:58:00 PM,Deposit,9712,Web,Web Browser,Ibadan,No,Successful,No
FT-T000113,FT-C00524,1/1/2026,8:09:00 PM,Card Purchase,5336,Mobile App,iOS,Kano,No,Successful,No
FT-T000114,FT-C00689,1/1/2026,8:20:00 PM,Airtime/Data,2255,Mobile App,Android,Abuja,No,Failed,No
FT-T000115,FT-C00991,1/1/2026,8:31:00 PM,Transfer,14111,POS,iOS,Kano,No,Successful,No
FT-T000116,FT-C00046,1/1/2026,8:42:00 PM,Cash Withdrawal,201689,Web,Web Browser,Kaduna,No,Successful,No
FT-T000117,FT-C01195,1/1/2026,8:52:00 PM,Card Purchase,1820,Web,Android,Benin City,No,Successful,No
FT-T000118,FT-C01154,1/1/2026,9:03:00 PM,Airtime/Data,586,POS,Android,Kano,No,Reversed,No
FT-T000119,FT-C00757,1/1/2026,9:14:00 PM,Card Purchase,63826,Web,iOS,Enugu,Yes,Successful,No
FT-T000120,FT-C01377,1/1/2026,9:25:00 PM,Deposit,13041,ATM,iOS,Lagos,No,Successful,No
FT-T000121,FT-C01227,1/1/2026,9:36:00 PM,Cash Withdrawal,1498,Mobile App,Android,Benin City,No,Successful,Yes
FT-T000122,FT-C01250,1/1/2026,9:46:00 PM,Bill Payment,6403,Web,iOS,Abuja,No,Successful,No
FT-T000123,FT-C01104,1/1/2026,9:57:00 PM,Deposit,36767,ATM,iOS,Kano,No,Successful,No
FT-T000124,FT-C01334,1/1/2026,10:08:00 PM,Airtime/Data,4647,Mobile App,POS Terminal,Kaduna,No,Successful,No
FT-T000125,FT-C01059,1/1/2026,10:19:00 PM,Bill Payment,1738,ATM,ATM Terminal,Unspecified,No,Successful,No
FT-T000126,FT-C00564,1/1/2026,10:30:00 PM,Card Purchase,151699,Web,ATM Terminal,Ibadan,No,Successful,No
FT-T000127,FT-C00161,1/1/2026,10:40:00 PM,Transfer,75214,Web,Android,Kano,No,Successful,No
FT-T000128,FT-C00840,1/1/2026,10:51:00 PM,Card Purchase,30046,ATM,iOS,Ibadan,No,Successful,No
FT-T000129,FT-C01459,1/1/2026,11:02:00 PM,Transfer,189516,Mobile App,Android,Enugu,No,Successful,No
FT-T000130,FT-C00538,1/1/2026,11:13:00 PM,Transfer,597,ATM,Android,Lagos,Yes,Successful,No
FT-T000131,FT-C00225,1/1/2026,11:24:00 PM,Cash Withdrawal,29531,Web,iOS,Lagos,No,Successful,Yes
FT-T000132,FT-C01470,1/1/2026,11:34:00 PM,Deposit,212239,Mobile App,Android,Abuja,No,Failed,No
FT-T000133,FT-C01341,1/1/2026,11:45:00 PM,Transfer,632,ATM,Android,Lagos,No,Successful,No
FT-T000134,FT-C01438,1/1/2026,11:56:00 PM,Cash Withdrawal,65042,POS,Web Browser,Enugu,No,Successful,Yes
FT-T000135,FT-C00095,1/2/2026,12:07:00 AM,Card Purchase,168519,Mobile App,Android,Enugu,No,Successful,Yes
FT-T000136,FT-C01249,1/2/2026,12:18:00 AM,Deposit,48788,POS,Web Browser,Kano,No,Successful,No
FT-T000137,FT-C00949,1/2/2026,12:28:00 AM,Transfer,8987,Mobile App,POS Terminal,Kaduna,No,Successful,No
FT-T000138,FT-C00553,1/2/2026,12:39:00 AM,Cash Withdrawal,12238,POS,Web Browser,Abuja,No,Successful,Yes
FT-T000139,FT-C00645,1/2/2026,12:50:00 AM,Airtime/Data,6822,Mobile App,Android,Ibadan,No,Successful,No
FT-T000140,FT-C00066,1/2/2026,1:01:00 AM,Card Purchase,11496,Mobile App,Web Browser,Port Harcourt,No,Successful,Yes
FT-T000141,FT-C01421,1/2/2026,1:12:00 AM,Bill Payment,32448,Mobile App,iOS,Lagos,No,Successful,Yes
FT-T000142,FT-C01234,1/2/2026,1:22:00 AM,Deposit,15834,POS,iOS,Kano,No,Successful,No
FT-T000143,FT-C01498,1/2/2026,1:33:00 AM,Transfer,8548,Web,Android,Ibadan,No,Reversed,No
FT-T000144,FT-C00665,1/2/2026,1:44:00 AM,Airtime/Data,10312,ATM,Android,Port Harcourt,No,Successful,No
FT-T000145,FT-C00684,1/2/2026,1:55:00 AM,Deposit,68638,POS,Android,Abuja,No,Successful,Yes
FT-T000146,FT-C00910,1/2/2026,2:06:00 AM,Transfer,99463,Mobile App,Web Browser,Kano,No,Successful,Yes
FT-T000147,FT-C00837,1/2/2026,2:16:00 AM,Card Purchase,87457,Mobile App,iOS,Kaduna,No,Successful,No
FT-T000148,FT-C00571,1/2/2026,2:27:00 AM,Cash Withdrawal,4282,ATM,Android,Port Harcourt,No,Successful,Yes
FT-T000149,FT-C00696,1/2/2026,2:38:00 AM,Deposit,7876,Mobile App,iOS,Kano,No,Successful,Yes
FT-T000150,FT-C00180,1/2/2026,2:49:00 AM,Transfer,18018,Mobile App,ATM Terminal,Ibadan,No,Successful,No
FT-T000151,FT-C00834,1/2/2026,3:00:00 AM,Bill Payment,69178,ATM,iOS,Kaduna,No,Successful,No
FT-T000152,FT-C01483,1/2/2026,3:10:00 AM,Transfer,146164,Mobile App,Web Browser,Enugu,No,Successful,No
FT-T000153,FT-C01092,1/2/2026,3:21:00 AM,Deposit,21517,Mobile App,Android,Ibadan,No,Successful,Yes
FT-T000154,FT-C01353,1/2/2026,3:32:00 AM,Bill Payment,10417,Mobile App,Web Browser,Lagos,No,Successful,No
FT-T000155,FT-C00202,1/2/2026,3:43:00 AM,Card Purchase,28578,Mobile App,iOS,Kaduna,No,Successful,No
FT-T000156,FT-C01499,1/2/2026,3:54:00 AM,Cash Withdrawal,17921,Web,Android,Ibadan,No,Successful,No
FT-T000157,FT-C01039,1/2/2026,4:04:00 AM,Deposit,1906,Mobile App,Web Browser,Abuja,No,Successful,No
FT-T000158,FT-C01066,1/2/2026,4:15:00 AM,Card Purchase,2865,Mobile App,Web Browser,Abuja,No,Successful,No
FT-T000159,FT-C00543,1/2/2026,4:26:00 AM,Bill Payment,643,POS,Web Browser,Enugu,No,Successful,No
FT-T000160,FT-C00982,1/2/2026,4:37:00 AM,Transfer,47634,POS,Android,Kano,No,Successful,No
FT-T000161,FT-C00774,1/2/2026,4:48:00 AM,Bill Payment,2983,POS,iOS,Kaduna,No,Successful,No
FT-T000162,FT-C01313,1/2/2026,4:58:00 AM,Bill Payment,25001,ATM,iOS,Abuja,No,Successful,No
FT-T000163,FT-C00694,1/2/2026,5:09:00 AM,Card Purchase,4687,Web,Android,Ibadan,No,Successful,No
FT-T000164,FT-C01268,1/2/2026,5:20:00 AM,Deposit,1348,Web,Android,Kaduna,No,Successful,No
FT-T000165,FT-C00612,1/2/2026,5:31:00 AM,Cash Withdrawal,8134,USSD,Android,Kaduna,No,Successful,No
FT-T000166,FT-C01198,1/2/2026,5:42:00 AM,Airtime/Data,389,POS,POS Terminal,Port Harcourt,No,Successful,No
FT-T000167,FT-C00244,1/2/2026,5:52:00 AM,Transfer,2148,ATM,iOS,Abuja,No,Successful,Yes
FT-T000168,FT-C00060,1/2/2026,6:03:00 AM,Transfer,6524,Web,Android,Ibadan,No,Successful,No
FT-T000169,FT-C00104,1/2/2026,6:14:00 AM,Deposit,607343,ATM,iOS,Benin City,No,Successful,No
FT-T000170,FT-C00651,1/2/2026,6:25:00 AM,Deposit,538879,Mobile App,Android,Ibadan,No,Successful,Yes
FT-T000171,FT-C01327,1/2/2026,6:36:00 AM,Card Purchase,51196,USSD,Android,Kaduna,No,Successful,No
FT-T000172,FT-C01011,1/2/2026,6:46:00 AM,Airtime/Data,460,Web,Android,Kano,No,Successful,No
FT-T000173,FT-C00077,1/2/2026,6:57:00 AM,Bill Payment,28628,Web,ATM Terminal,Kano,No,Successful,No
FT-T000174,FT-C01042,1/2/2026,7:08:00 AM,Airtime/Data,110,Mobile App,POS Terminal,Abuja,No,Successful,No
FT-T000175,FT-C01208,1/2/2026,7:19:00 AM,Card Purchase,430,Mobile App,Android,Kaduna,Yes,Successful,No
FT-T000176,FT-C01305,1/2/2026,7:30:00 AM,Transfer,147207,Mobile App,iOS,Abuja,No,Successful,No
FT-T000177,FT-C01312,1/2/2026,7:40:00 AM,Card Purchase,11083,Mobile App,Android,Ibadan,No,Successful,No
FT-T000178,FT-C00698,1/2/2026,7:51:00 AM,Airtime/Data,1018,Web,POS Terminal,Abuja,No,Successful,No
FT-T000179,FT-C01498,1/2/2026,8:02:00 AM,Card Purchase,34216,Mobile App,Android,Benin City,No,Successful,No
FT-T000180,FT-C00946,1/2/2026,8:13:00 AM,Airtime/Data,204,USSD,iOS,Port Harcourt,No,Successful,No
FT-T000181,FT-C00267,1/2/2026,8:24:00 AM,Deposit,6541,Mobile App,iOS,Enugu,No,Successful,No
FT-T000182,FT-C00781,1/2/2026,8:34:00 AM,Card Purchase,31516,Mobile App,iOS,Benin City,No,Failed,No
FT-T000183,FT-C00609,1/2/2026,8:45:00 AM,Card Purchase,1129,Web,Android,Lagos,No,Successful,No
FT-T000184,FT-C00946,1/2/2026,8:56:00 AM,Cash Withdrawal,27562,Mobile App,Web Browser,Lagos,No,Reversed,No
FT-T000185,FT-C01381,1/2/2026,9:07:00 AM,Cash Withdrawal,11843,POS,POS Terminal,Ibadan,No,Successful,No
FT-T000186,FT-C01025,1/2/2026,9:18:00 AM,Transfer,1981,Web,Android,Enugu,No,Successful,No
FT-T000187,FT-C01051,1/2/2026,9:28:00 AM,Airtime/Data,24987,Mobile App,Web Browser,Benin City,No,Successful,No
FT-T000188,FT-C00548,1/2/2026,9:39:00 AM,Cash Withdrawal,11076,Mobile App,ATM Terminal,Lagos,No,Successful,No
FT-T000189,FT-C00160,1/2/2026,9:50:00 AM,Airtime/Data,4133,Mobile App,Android,Ibadan,No,Successful,No
FT-T000190,FT-C00937,1/2/2026,10:01:00 AM,Cash Withdrawal,4044,Web,POS Terminal,Ibadan,No,Reversed,No
FT-T000191,FT-C00399,1/2/2026,10:12:00 AM,Card Purchase,2758,Mobile App,Android,Benin City,No,Failed,No
FT-T000192,FT-C00543,1/2/2026,10:22:00 AM,Cash Withdrawal,1311,ATM,Android,Kaduna,No,Successful,No
FT-T000193,FT-C00127,1/2/2026,10:33:00 AM,Deposit,23702,ATM,iOS,Enugu,No,Successful,No
FT-T000194,FT-C01009,1/2/2026,10:44:00 AM,Card Purchase,2724,POS,ATM Terminal,Port Harcourt,No,Successful,No
FT-T000195,FT-C00948,1/2/2026,10:55:00 AM,Airtime/Data,775,Mobile App,iOS,Kano,No,Successful,No
FT-T000196,FT-C00210,1/2/2026,11:06:00 AM,Card Purchase,89026,ATM,iOS,Abuja,No,Successful,No
FT-T000197,FT-C00150,1/2/2026,11:16:00 AM,Airtime/Data,7938,Mobile App,iOS,Port Harcourt,No,Failed,No
FT-T000198,FT-C00031,1/2/2026,11:27:00 AM,Deposit,20000,Web,ATM Terminal,Kano,No,Successful,Yes
FT-T000199,FT-C00612,1/2/2026,11:38:00 AM,Bill Payment,1408,Mobile App,iOS,Ibadan,No,Successful,No
FT-T000200,FT-C00302,1/2/2026,11:49:00 AM,Card Purchase,151691,Mobile App,Android,Benin City,No,Successful,No
FT-T000201,FT-C00963,1/2/2026,12:00:00 PM,Cash Withdrawal,1511,ATM,iOS,Benin City,No,Successful,No
FT-T000202,FT-C00865,1/2/2026,12:10:00 PM,Deposit,2439,POS,Android,Kaduna,No,Successful,No
FT-T000203,FT-C00765,1/2/2026,12:21:00 PM,Card Purchase,1691,Mobile App,iOS,Port Harcourt,No,Successful,Yes
FT-T000204,FT-C00683,1/2/2026,12:32:00 PM,Bill Payment,78590,Mobile App,ATM Terminal,Ibadan,No,Successful,No
FT-T000205,FT-C00257,1/2/2026,12:43:00 PM,Deposit,6215,USSD,Android,Kaduna,No,Successful,Yes
FT-T000206,FT-C00940,1/2/2026,12:54:00 PM,Card Purchase,6956,Mobile App,Android,Lagos,No,Successful,No
FT-T000207,FT-C01081,1/2/2026,1:04:00 PM,Card Purchase,39062,Mobile App,iOS,Benin City,No,Successful,No
FT-T000208,FT-C00009,1/2/2026,1:15:00 PM,Transfer,277978,Mobile App,POS Terminal,Ibadan,No,Failed,Yes
FT-T000209,FT-C01029,1/2/2026,1:26:00 PM,Transfer,30659,ATM,ATM Terminal,Lagos,No,Successful,Yes
FT-T000210,FT-C00847,1/2/2026,1:37:00 PM,Airtime/Data,1089,Web,iOS,Ibadan,Yes,Successful,Yes
FT-T000211,FT-C01138,1/2/2026,1:48:00 PM,Deposit,636603,Mobile App,iOS,Benin City,No,Successful,No
FT-T000212,FT-C00777,1/2/2026,1:58:00 PM,Transfer,597,ATM,ATM Terminal,Ibadan,No,Successful,No
FT-T000213,FT-C00685,1/2/2026,2:09:00 PM,Deposit,233139,Web,POS Terminal,Benin City,No,Successful,Yes
FT-T000214,FT-C00732,1/2/2026,2:20:00 PM,Transfer,3300,Web,iOS,Benin City,No,Successful,No
FT-T000215,FT-C01229,1/2/2026,2:31:00 PM,Card Purchase,55992,USSD,Android,Kano,No,Successful,No
FT-T000216,FT-C00024,1/2/2026,2:42:00 PM,Transfer,1507,Mobile App,iOS,Ibadan,No,Successful,No
FT-T000217,FT-C00493,1/2/2026,2:52:00 PM,Airtime/Data,863,POS,POS Terminal,Ibadan,No,Successful,No
FT-T000218,FT-C00970,1/2/2026,3:03:00 PM,Airtime/Data,142,POS,iOS,Ibadan,No,Successful,No
FT-T000219,FT-C01430,1/2/2026,3:14:00 PM,Cash Withdrawal,3011,Mobile App,ATM Terminal,Enugu,No,Successful,No
FT-T000220,FT-C00103,1/2/2026,3:25:00 PM,Card Purchase,14183,POS,Android,Abuja,No,Successful,No
FT-T000221,FT-C01084,1/2/2026,3:36:00 PM,Card Purchase,39146,ATM,iOS,Enugu,No,Successful,No
